group,taxon_a,taxon_b,factor,density_overlap
colour,Cirsium arizonicum,Cirsium drummondii,1.25,0.5236203376885338
colour,Cirsium arizonicum,Cirsium helenioides,0.75,0.416811641492445
colour,Cirsium arizonicum,Cirsium helenioides,1.0,0.5065279088946336
colour,Cirsium arizonicum,Cirsium helenioides,1.25,0.5728083674937283
colour,Cirsium arizonicum,Cirsium scariosum,0.75,0.4189323337572363
colour,Cirsium arizonicum,Cirsium scariosum,1.0,0.4890121383064148
colour,Cirsium arizonicum,Cirsium scariosum,1.25,0.5410562574176528
colour,Cirsium arvense,Cirsium mexicanum,0.75,0.5332343438507328
colour,Cirsium arvense,Cirsium mexicanum,1.0,0.6051718458824389
colour,Cirsium arvense,Cirsium mexicanum,1.25,0.6533424277948419
colour,Cirsium arvense,Cirsium rhaphilepis,0.75,0.426362484724365
colour,Cirsium arvense,Cirsium rhaphilepis,1.0,0.4823498344240015
colour,Cirsium arvense,Cirsium rhaphilepis,1.25,0.5420169121175733
colour,Cirsium brevistylum,Cirsium cymosum,0.75,0.28732254550456016
colour,Cirsium brevistylum,Cirsium cymosum,1.0,0.35730007501655153
colour,Cirsium brevistylum,Cirsium cymosum,1.25,0.41884137709646235
colour,Cirsium brevistylum,Cirsium nuttallii,0.75,0.45727077464644017
colour,Cirsium brevistylum,Cirsium nuttallii,1.0,0.5172481855390636
colour,Cirsium brevistylum,Cirsium nuttallii,1.25,0.5599173617472823
colour,Cirsium brevistylum,Cirsium obvallatum,0.75,0.48614063394550505
colour,Cirsium brevistylum,Cirsium obvallatum,1.0,0.5527760136360493
colour,Cirsium brevistylum,Cirsium obvallatum,1.25,0.5993465633501264
colour,Cirsium brevistylum,Cirsium rhaphilepis,0.75,0.48099785426378366
colour,Cirsium brevistylum,Cirsium rhaphilepis,1.0,0.5480828075333687
colour,Cirsium brevistylum,Cirsium rhaphilepis,1.25,0.6021521640216273
colour,Cirsium brevistylum,Cirsium rivulare,0.75,0.38578654903484666
colour,Cirsium brevistylum,Cirsium rivulare,1.0,0.4499202896526969
colour,Cirsium brevistylum,Cirsium rivulare,1.25,0.4957169800662773
colour,Cirsium canescens,Cirsium drummondii,0.75,0.169434469853147
colour,Cirsium canescens,Cirsium drummondii,1.0,0.19591069856172727
colour,Cirsium canescens,Cirsium drummondii,1.25,0.22329830326334077
colour,Cirsium canescens,Cirsium japonicum,0.75,0.12422569536442389
colour,Cirsium canescens,Cirsium japonicum,1.0,0.15498229614460657
colour,Cirsium canescens,Cirsium japonicum,1.25,0.18270450777550112
colour,Cirsium canum,Cirsium ehrenbergii,0.75,0.35665263450705753
